date,close,high,low,trade_count,open,volume,vwap
2023-03-08 05:00:00+00:00,398.87,399.7,396.62,11698,398.41,1166923,398.064224
2023-03-09 05:00:00+00:00,391.65,401.46,390.535,19689,399.74,1863803,395.39108
2023-03-10 05:00:00+00:00,385.885,393.14,384.34,25055,390.98,2663479,387.799602
2023-03-13 04:00:00+00:00,385.33,390.32,380.69,24736,381.78,2716899,386.288359
2023-03-14 04:00:00+00:00,391.68,393.41,387.06,25291,390.49,2748577,390.540554
2023-03-15 04:00:00+00:00,389.29,389.41,383.74,22171,385.72,2281311,386.791871
2023-03-16 04:00:00+00:00,396.03,396.43,386.3,17071,386.99,1918071,392.903062
2023-03-17 04:00:00+00:00,390.12,394.29,388.555,15988,393.2,1802218,390.745141
2023-03-20 04:00:00+00:00,393.58,394.15,390.11,16081,390.82,1518151,392.599416
2023-03-21 04:00:00+00:00,398.88,399.4,395.59,15047,397.26,1626744,397.370585
2023-03-22 04:00:00+00:00,392.19,402.48,392.12,15557,398.735,1863383,398.589297
2023-03-23 04:00:00+00:00,393.29,399.275,390.41,16149,395.08,1692167,395.214528
2023-03-24 04:00:00+00:00,395.7,395.83,389.4,14095,391.81,1347657,393.051091
2023-03-27 04:00:00+00:00,396.42,398.87,395.56,14312,398.13,1319918,397.006521
2023-03-28 04:00:00+00:00,395.695,396.44,393.7,10882,395.74,984276,395.1408
2023-03-29 04:00:00+00:00,401.33,401.595,398.73,16182,399.93,1505353,400.181346
2023-03-30 04:00:00+00:00,403.63,404.34,401.76,13852,404.06,1340759,403.184536
2023-03-31 04:00:00+00:00,409.37,409.67,404.6,14776,404.68,1675630,407.083473
2023-04-03 04:00:00+00:00,411.01,411.37,408.45,14401,408.87,1488912,409.965041
2023-04-04 04:00:00+00:00,408.7,411.92,407.26,14901,411.61,1683185,409.107836
2023-04-05 04:00:00+00:00,407.63,408.61,405.9,13497,407.88,1219176,407.218859
2023-04-06 04:00:00+00:00,409.22,409.47,405.69,14965,406.77,1496736,408.131202
2023-04-10 04:00:00+00:00,409.68,409.68,405.985,13008,406.6,1217743,407.791367
2023-04-11 04:00:00+00:00,409.695,411.16,408.95,11292,410.12,1023249,410.108206
2023-04-12 04:00:00+00:00,408.04,412.16,407.45,13181,411.92,1275272,409.74144
2023-04-13 04:00:00+00:00,413.4,413.835,408.72,15579,409.21,1685404,411.87296
2023-04-14 04:00:00+00:00,412.495,415.09,410.085,12242,412.85,1199080,412.12306
2023-04-17 04:00:00+00:00,413.94,413.94,411.095,10876,412.38,1127392,412.548882
2023-04-18 04:00:00+00:00,414.215,415.72,412.79,15494,415.63,1267974,414.065129
2023-04-19 04:00:00+00:00,414.26,415.06,412.21,11245,412.21,1075031,413.630891
2023-04-20 04:00:00+00:00,411.835,413.69,410.27,11444,411.18,1364870,411.889081
2023-04-21 04:00:00+00:00,412.16,412.66,410.24,10150,412.11,937587,411.793184
2023-04-24 04:00:00+00:00,412.63,413.05,410.62,9286,411.98,1002044,412.034816
2023-04-25 04:00:00+00:00,406.12,411.14,406.04,15209,410.57,1599541,408.005868
2023-04-26 04:00:00+00:00,404.37,407.83,403.785,16644,406.75,1650310,405.638654
2023-04-27 04:00:00+00:00,412.38,412.675,406.75,17076,406.99,1994345,410.198466
2023-04-28 04:00:00+00:00,415.9,415.925,411.47,14287,411.48,1694498,414.446493
2023-05-01 04:00:00+00:00,415.56,417.6,415.275,11265,415.48,1060641,416.236188
2023-05-02 04:00:00+00:00,410.825,414.8,407.82,15259,414.79,1700866,410.556187
2023-05-03 04:00:00+00:00,407.96,413.84,407.79,10326,411.38,1080213,410.865958
2023-05-04 04:00:00+00:00,404.965,407.165,403.75,14807,406.92,1700198,405.358252
2023-05-05 04:00:00+00:00,412.68,413.7,408.65,13933,408.76,1547470,411.581136
2023-05-08 04:00:00+00:00,412.8,413.22,411.285,9992,412.96,926139,412.503606
2023-05-09 04:00:00+00:00,410.94,412.07,410.72,9476,411.15,842492,411.324893
2023-05-10 04:00:00+00:00,412.68,414.51,408.88,13850,413.88,1426892,411.907208
2023-05-11 04:00:00+00:00,412.08,412.39,409.97,8951,411.965,988495,411.265833
2023-05-12 04:00:00+00:00,411.61,413.63,409.11,8713,413.43,999381,410.89378
2023-05-15 04:00:00+00:00,413.02,413.39,410.26,8458,412.27,813583,412.01462
2023-05-16 04:00:00+00:00,410.28,412.78,410.25,9289,411.85,1008235,411.489139
2023-05-17 04:00:00+00:00,415.14,415.84,410.65,12506,412.34,1343616,414.033074
2023-05-18 04:00:00+00:00,419.215,419.66,414.7,10871,414.96,1147069,417.201271
2023-05-19 04:00:00+00:00,418.58,420.71,417.355,10308,420.2,1158018,418.946408
2023-05-22 04:00:00+00:00,418.77,420.37,417.37,8576,418.8,925017,419.142206
2023-05-23 04:00:00+00:00,414.135,418.06,413.685,11175,417.09,1111986,415.815852
2023-05-24 04:00:00+00:00,410.985,412.78,409.895,11157,412.41,1204304,411.029899
2023-05-25 04:00:00+00:00,414.62,416.07,412.43,12651,414.74,1534315,414.224823
2023-05-26 04:00:00+00:00,419.96,420.76,415.28,14236,415.33,1594225,419.298841
2023-05-30 04:00:00+00:00,420.135,422.575,418.76,10500,422.03,1165756,420.553836
2023-05-31 04:00:00+00:00,417.86,419.19,416.23,12847,418.26,1585308,417.69383
2023-06-01 04:00:00+00:00,421.79,422.92,416.855,12564,418.205,1280781,420.701257
2023-06-02 04:00:00+00:00,427.735,428.73,423.98,14856,424.58,1485046,427.233539
2023-06-05 04:00:00+00:00,427.1,429.67,426.38,9298,428.22,1042292,428.071805
2023-06-06 04:00:00+00:00,428.03,428.56,426.035,11370,426.67,1132909,427.532158
2023-06-07 04:00:00+00:00,426.57,429.6,426.13,12433,428.46,1513065,427.338988
2023-06-08 04:00:00+00:00,429.17,429.57,425.855,9324,426.565,959745,428.280706
2023-06-09 04:00:00+00:00,429.99,431.99,428.885,8933,430.08,980638,430.383353
2023-06-12 04:00:00+00:00,433.82,433.855,430.17,8910,430.925,872286,431.996146
2023-06-13 04:00:00+00:00,436.67,437.32,434.68,12166,435.41,1434752,436.356502
2023-06-14 04:00:00+00:00,437.14,439.03,433.655,9237,437.1,1154840,436.623495
2023-06-15 04:00:00+00:00,442.59,443.88,436.28,13512,436.38,1762275,441.098083
2023-06-16 04:00:00+00:00,439.28,443.11,438.98,10110,443.11,1108906,440.942685
2023-06-20 04:00:00+00:00,437.24,438.36,435.03,11064,437.43,1191787,436.994298
2023-06-21 04:00:00+00:00,434.85,436.97,434.37,8745,436.2,1178565,435.464099
2023-06-22 04:00:00+00:00,436.57,436.62,433.64,8750,433.99,870482,435.301569
2023-06-23 04:00:00+00:00,433.16,435.05,432.5,10825,432.96,1161180,433.523681
2023-06-26 04:00:00+00:00,431.4,434.55,431.205,9720,432.64,1025359,432.646608
2023-06-27 04:00:00+00:00,436.14,436.8,431.915,10174,432.39,1114166,435.119355
2023-06-28 04:00:00+00:00,436.34,437.42,434.41,8053,435.09,934658,435.614623
2023-06-29 04:00:00+00:00,438.14,438.265,435.62,8443,435.94,762559,437.300117
2023-06-30 04:00:00+00:00,443.22,444.22,441.18,8831,441.44,1112022,443.22616
2023-07-03 04:00:00+00:00,443.89,444.07,442.65,5051,442.94,370605,443.60843
2023-07-05 04:00:00+00:00,443.14,443.87,441.91,7625,441.93,673063,443.295883
2023-07-06 04:00:00+00:00,439.69,440.07,437.07,10275,439.39,1061407,438.643062
2023-07-07 04:00:00+00:00,438.52,442.64,438.305,10432,438.63,1211901,440.61638
2023-07-10 04:00:00+00:00,439.65,439.825,437.59,8434,438.19,906011,438.896857
2023-07-11 04:00:00+00:00,442.5,442.94,439.45,9722,440.455,759246,441.19109
2023-07-12 04:00:00+00:00,446.0,447.465,444.91,9239,446.42,1025074,446.24143
2023-07-13 04:00:00+00:00,449.61,450.375,447.485,10976,447.895,1121925,448.919647
2023-07-14 04:00:00+00:00,449.33,451.35,448.58,8850,450.6,827887,449.872285
2023-07-17 04:00:00+00:00,450.86,451.92,449.13,7166,449.13,757125,450.597287
2023-07-18 04:00:00+00:00,454.22,454.845,450.1,10919,450.53,1195584,453.156001
2023-07-19 04:00:00+00:00,455.05,456.425,454.4,9248,455.22,911992,455.48622
2023-07-20 04:00:00+00:00,452.26,455.08,451.46,10436,454.16,1078576,453.319007
2023-07-21 04:00:00+00:00,452.2,454.14,452.18,9567,453.93,912338,453.063994
2023-07-24 04:00:00+00:00,454.19,455.01,452.75,7914,453.38,745375,454.081123
2023-07-25 04:00:00+00:00,455.36,456.71,453.915,9710,453.95,790450,455.472826
2023-07-26 04:00:00+00:00,455.505,456.9,453.41,9096,454.5,916421,454.815909
2023-07-27 04:00:00+00:00,452.5,459.44,451.58,12615,459.08,1436841,455.623687
2023-07-28 04:00:00+00:00,456.91,457.78,455.12,12408,455.775,1279542,456.697435
2023-07-31 04:00:00+00:00,457.81,458.11,456.07,9342,457.41,818144,457.03461
2023-08-01 04:00:00+00:00,456.44,457.19,455.505,11207,456.32,1033910,456.395853
2023-08-02 04:00:00+00:00,450.16,453.495,449.36,13400,453.25,1435967,451.139416
2023-08-03 04:00:00+00:00,448.88,450.79,447.395,10522,448.115,982821,449.168675
2023-08-04 04:00:00+00:00,446.79,452.885,446.285,14064,450.705,1653131,449.554333
2023-08-07 04:00:00+00:00,450.68,450.86,448.01,9516,448.69,931786,449.594488
2023-08-08 04:00:00+00:00,448.86,449.225,445.3,10254,448.03,977244,447.077591
2023-08-09 04:00:00+00:00,445.74,449.16,444.96,10926,449.03,1094151,447.056642
2023-08-10 04:00:00+00:00,445.88,451.67,444.73,11506,448.195,1315971,447.750215
2023-08-11 04:00:00+00:00,445.36,446.67,443.455,9780,443.96,936311,445.226033
2023-08-14 04:00:00+00:00,448.1,448.1,444.385,7897,444.8,790707,446.707396
2023-08-15 04:00:00+00:00,442.93,446.605,442.32,10470,446.29,1083858,443.918672
2023-08-16 04:00:00+00:00,439.62,444.17,439.54,10289,442.47,1044477,441.566912
2023-08-17 04:00:00+00:00,436.26,441.375,435.75,11122,441.1,1138844,438.440146
2023-08-18 04:00:00+00:00,436.39,437.55,433.07,10567,433.27,1189686,435.563327
